"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100325193","10085205P5","S A SERIES MNT BKT 40W","","FLOR","9","0","0","H87","0"
"100325194","10085209P12","SM BRKT","","FLOR","1","0","0","H87","0"
"100325195","10085209P9","SM BRKT","","FLOR","1","0","0","H87","0"
"100325196","10085228P33","SM A SERIES CVR S 40W44H40","","FLOR","2","0","0","H87","0"
"100325197","10085228P35","SM A SERIES CVR S 4","","FLOR","8","0","0","H87","0"
"100325198","10085237P2","SM A SERIES BKT","","FLOR","51","0","0","H87","0"
"100325199","10085237P3","SM A SERIES BKT","","FLOR","41","0","0","H87","0"
"100325200","10085280P4","SM COVER 30W 84H W/SEAL PROV","","FLOR","1","0","0","H87","0"
"100325201","10085327P4","BRACKET","","FLOR","4","0","0","H87","0"
"100325202","10085741P18","SM COVER AUXILIARY","","FLOR","1","0","0","H87","0"
"100325203","10085953P10","PBII LINE SIDE BARR.35W 08-20A","","FLOR","1","0","0","H87","0"
"100325204","10085953P11","PBII LINE SIDE BARR.40W 08-20A","","FLOR","6","0","0","H87","0"
"100325205","10085953P9","PBII LINE SIDE BARR.30W 08-20A","","FLOR","4","0","0","H87","0"
"100325206","10086016P5","SM SENSOR LUG ADAPTOR","","FLOR","1","0","0","H87","0"
"100325207","10086016P6","SM SENSOR LUG ADAPTOR","","FLOR","1","0","0","H87","0"
"100325208","10086078P1","SM ISOLATION BARRIER BKT. 60W","","FLOR","8","0","0","H87","0"
"100325209","10086369P18","SM BRACKET AUX NEUTRAL R HAND","","FLOR","18","0","0","H87","0"
"100325210","10086369P23","SM BRACKET SUPPORT MAIN BUS","","FLOR","270","0","0","H87","0"
"100325211","10086369P31","SM BOTTOM BRKT SIDE BARRIER","","FLOR","97","0","0","H87","0"
"100325212","10086369P8","SM ACCESS PANEL COVER 35W","","FLOR","60","0","0","H87","0"
"100325213","10086536P4","SM TRAY BARRIER 30W S08","","FLOR","1","0","0","H87","0"
"100325214","10086548P100","SM MOUNTING PLATE 6","","FLOR","1","0","0","H87","0"
"100325215","10086548P13","MTG PLATE 12 X 25","","FLOR","2","0","0","H87","0"
"100325216","10086548P14","MTG PLATE","","FLOR","11","0","0","H87","0"
"100325217","10086548P15","SM MOUNTING PLATE 35W 12H","","FLOR","5","0","0","H87","0"
"100325218","10086548P16","MTG PLATE 12 X 40","","FLOR","1","0","0","H87","0"
"100325219","10086548P17","SM MOUNTING PLATE 45W 12H","","FLOR","1","0","0","H87","0"
"100325220","10086548P25","SM MOUNTING PLATE 35W 16H","","FLOR","9","0","0","H87","0"
"100325221","10086548P26","BRACE","","FLOR","1","0","0","H87","0"
"100325222","10086548P31","SM MOUNTING PLATE 15W 20H","","FLOR","3","0","0","H87","0"
"100325223","10086548P34","SM MOUNTING PLATE 30W 20H","","FLOR","3","0","0","H87","0"
"100325224","10086548P35","SM MOUNTING PLATE 35W 20H","","FLOR","8","0","0","H87","0"
"100325225","10086548P4","MTG PLATE","","FLOR","2","0","0","H87","0"
"100325226","10086548P46","SM MOUNTING PLATE 40W 24H","","FLOR","2","0","0","H87","0"
"100325227","10086548P54","SM MOUNTING PLATE 30W 28H","","FLOR","1","0","0","H87","0"
"100325228","10086548P56","SM MOUNTING PLATE 40W 28H","","FLOR","5","0","0","H87","0"
"100325229","10086548P64","SM MOUNTING PLATE 30W 32H","","FLOR","25","0","0","H87","0"
"100325230","10086548P74","SM MOUNTING PLATE 30W 36H","","FLOR","2","0","0","H87","0"
"100325231","10086548P80","SM MOUNTING PLATE 6","","FLOR","1","0","0","H87","0"
"100325232","10086548P86","SM MOUNTING PLATE 40W 40H","","FLOR","2","0","0","H87","0"
"100325233","10086559P17","SM MOUNTING PLATE 45W 12H","","FLOR","1","0","0","H87","0"
"100325234","10086559P26","MTG PLATE","","FLOR","2","0","0","H87","0"
"100325235","10086559P36","MOUNTING PLATE","","FLOR","3","0","0","H87","0"
"100325236","10086559P4","SM MOUNTING PLATE 30W 08H","","FLOR","4","0","0","H87","0"
"100325237","10086559P44","SM MOUNTING PLATE 30W 24H","","FLOR","1","0","0","H87","0"
"100325238","10086559P46","SM MOUNTING PLATE 40W 24H","","FLOR","1","0","0","H87","0"
"100325239","10086559P5","SM MOUNTING PLATE 35W 08H","","FLOR","2","0","0","H87","0"
"100325240","10086559P8","SM MOUNTING PLATE 50W 08H","","FLOR","3","0","0","H87","0"
"100325241","10086559P87","SM MOUNTING PLATE 4","","FLOR","1","0","0","H87","0"
"100325242","10086582P10","COVER SHARK 40X8","","FLOR","5","0","0","EA","0"
"100325243","10086582P11","SM CVR 5200 MTR 8X45 W&W/OCPT","","FLOR","15","0","0","H87","0"
"100325244","10086582P12","SM CVR 5200 MTR 8X50 W&W/OCPT","","FLOR","3","0","0","H87","0"
"100325245","10086582P22","SM CVR 5200 MTR 8X30 W/O PTS","","FLOR","1","0","0","H87","0"
"100325246","10086582P29","COVER PS SIN RELT 30X8","","FLOR","80","0","0","EA","0"
"100325247","10086582P32","SM COVER PS UNIT 8H X 45W","","FLOR","4","0","0","H87","0"
"100325248","10086582P33","SM COVER PS UNIT 8H X 50W","","FLOR","8","0","0","H87","0"
"100325249","10086582P75","&SM RELT DR HGD 40WX8H, R0","","FLOR","2","0","0","H87","0"
"100325250","10086582P83","COVER PS CON RELT 30X8","","FLOR","27","0","0","EA","0"
"100325251","10086582P84","&SM RELT DR HGD 35WX8H","","FLOR","42","0","0","H87","0"
"100325252","10086582P85","COVER PS CON RELT 40X8","","FLOR","7","0","0","EA","0"
"100325253","10086582P87","&SM RELT DR HGD 50WX8H","","FLOR","1","0","0","H87","0"
"100325254","10086582P9","COVER SHARK 35X8","","FLOR","25","0","0","EA","0"
"100325255","10086628P1","SM CVR MTR 9650 12X30 W&/OCPT","","FLOR","11","0","0","H87","0"
"100325256","10086628P3","SM CVR MTR 9650 12X40 W&/OCPT","","FLOR","4","0","0","H87","0"
"100325257","10086628P4","SM CVR MTR 9650 12X45 W&/OCPT","","FLOR","1","0","0","H87","0"
"100325258","10086644P1","SM GND BRKT","","FLOR","54","0","0","H87","0"
"100325259","10086767P11","SM BASE PLATE","","FLOR","459","0","0","H87","0"
"100325260","10086767P3","SM MNTG. PLATE 8H COVER","","FLOR","110","0","0","H87","0"
"100325261","10086830P1","LUG TAP","","FLOR","96","0","0","H87","0"
"100325262","10086831P11","SM 12H 40W DOOR W/BPHP","","FLOR","30","0","0","H87","0"
"100325263","10086889P11","SM 14H 40W DOOR W/BPHP","","FLOR","1","0","0","H87","0"
"100325264","10086889P4","SM 14H 30W DOOR W/BPHP","","FLOR","9","0","0","H87","0"
"100325265","10086890P11","SM 16H 40W DOOR W/BPHP","","FLOR","3","0","0","H87","0"
"100325266","10086890P4","COVER","","FLOR","8","0","0","H87","0"
"100325267","10086890P7","SM 16H 35W DOOR W/BPHP","","FLOR","1","0","0","H87","0"
"100325268","10086895P3","SM HOUSING ACT TVSS 35W","","FLOR","1","0","0","H87","0"
"100325269","10086895P5","SM HOUSING ACT TVSS 45W","","FLOR","25","0","0","H87","0"
"100325270","10086895P8","SM HOUSING ACT TVSS 60W","","FLOR","1","0","0","H87","0"
"100325271","10086896P1","SM CVR HINGED ACT TVSS 25W12H","","FLOR","2","0","0","H87","0"
"100325272","10086896P4","SM CVR HINGED ACT TVSS 40W12H","","FLOR","47","0","0","H87","0"
"100325273","10086917P1","SM BRACKET SDG&E BARRIER","","FLOR","25","0","0","H87","0"
"100325274","10086934P1","SM BRACKET BARRIER","","FLOR","246","0","0","H87","0"
"100325275","10086940P1","SM BRACKET BARRIER","","FLOR","167","0","0","H87","0"
"100325276","10086944P01","SM 06H 30W DOOR","","FLOR","1","0","0","H87","0"
"100325277","10086944P02","SM 06H 40W DOOR","","FLOR","1","0","0","H87","0"
"100325278","10086944P04","SM 06H 50W DOOR","","FLOR","1","0","0","H87","0"
"100325279","10086944P1","SM 08H 25W DOOR W/BPHP","","FLOR","1","0","0","H87","0"
"100325280","10086944P19","SM 08H 50W DOOR W/BPHP","","FLOR","7","0","0","H87","0"
"100325281","10086944P23","SM 08H 55W DOOR W/BPHP","","FLOR","2","0","0","H87","0"
"100325282","10086944P27","SM 08H 60W DOOR W/BPHP","","FLOR","1","0","0","H87","0"
"100325283","10086980P1","UC NEUT TAP W/1/4-20","","FLOR","1","0","0","H87","0"
"100325284","10086980P2","SC GND TAP CONN","","FLOR","7","0","0","H87","0"
"100325285","10086980P3","SC ADAPTER GROUND","","FLOR","7","0","0","H87","0"
"100325286","10086981P24","UC NEUT VERT STRAP CU TP 51H","","FLOR","1","0","0","H87","0"
"100325287","10086981P56","10086981P56.PRT","","FLOR","6","0","0","H87","0"
"100325288","10086992P2","COVER","","FLOR","1","0","0","H87","0"
"100325289","10087017P1","SC AUX NEUTRAL 600A CU","","FLOR","2","0","0","H87","0"
"100325290","10087017P3","SA AUX NEUTRAL 600A AL","","FLOR","8","0","0","H87","0"
"100325291","10087017P4","SA AUX NEUTRAL 1200A AL","","FLOR","9","0","0","H87","0"
"100325292","10087031P1","SC NEUTRAL EXTENSION 600A","","FLOR","2","0","0","H87","0"
"100325293","10087031P3","SA NEUTRAL EXTENSION 600A","","FLOR","11","0","0","H87","0"
"100325294","10087031P4","SA NEUTRAL EXTENSION 1200A","","FLOR","4","0","0","H87","0"
"100325295","10087032P1","SM TOP BRKT BARRIER LH","","FLOR","199","0","0","H87","0"
"100325296","10087032P2","SM TOP BRKT BARRIER RH","","FLOR","26","0","0","H87","0"
"100325297","10087044P1","SI TOP BARRIER","","FLOR","5","0","0","H87","0"
"100325298","10087044P2","SI TOP BARRIER","","FLOR","2","0","0","H87","0"
"100325299","10087044P3","SI TOP BARRIER","","FLOR","1","0","0","H87","0"
"100325300","10087050P3","SI EU CT BARRIER 12-20A C","","FLOR","2","0","0","H87","0"
"100325301","10087050P4","SI EU CT BARRIER 04-10A C","","FLOR","15","0","0","H87","0"
"100325302","10087051P1","SM EU CT 04A-10A BRKT LH","","FLOR","11","0","0","H87","0"
"100325303","10087051P2","SM EU CT 04A-10A BRKT RH","","FLOR","13","0","0","H87","0"
"100325304","10087051P3","SM EU CT 12A-20A BRKT LH","","FLOR","2","0","0","H87","0"
"100325305","10087051P4","SM EU CT 12A-20A BRKT RH","","FLOR","2","0","0","H87","0"
"100325306","10087051P5","SM EU CT 04-10A BRKT LH","","FLOR","1","0","0","H87","0"
"100325307","10087051P6","SM EU CT 04-10A BRKT RH","","FLOR","1","0","0","H87","0"
"100325308","10087052P1","SC NEUTRAL BUS 08/16A 35W","","FLOR","4","0","0","H87","0"
"100325309","10087052P11","SA NEUTRAL BUS 08/16A 35W","","FLOR","10","0","0","H87","0"
"100325310","10087052P13","SA NEUTRAL BUS 12/25A 35W","","FLOR","3","0","0","H87","0"
"100325311","10087052P14","SA NEUTRAL BUS 15/30A 35W","","FLOR","6","0","0","H87","0"
"100325312","10087052P18","SA NEUTRAL BUS 12/25A 40W","","FLOR","6","0","0","H87","0"
"100325313","10087052P20","SA NEUTRAL BUS 20/40A 40W","","FLOR","1","0","0","H87","0"
"100325314","10087062P1","SC AUX NEUTRAL CON 08/16A","","FLOR","4","0","0","H87","0"
"100325315","10087062P4","SA AUX NEUTRAL CON 08/16A","","FLOR","14","0","0","H87","0"
"100325316","10087087P1","SC HORIZ AUX NEUT 08A","","FLOR","5","0","0","H87","0"
"100325317","10087087P4","SA HORIZ AUX NEUT 08A","","FLOR","4","0","0","H87","0"
"100325318","10087087P6","SA HORIZ AUX NEUT 12A","","FLOR","2","0","0","H87","0"
"100325319","10087097P1","SI BOTTOM BARRIER INS","","FLOR","2","0","0","H87","0"
"100325320","10087112P1","SC NEUTRAL PLATE DISCON 600A","","FLOR","2","0","0","H87","0"
"100325321","10087112P3","SA NEUTRAL PLATE DISCON 600A","","FLOR","6","0","0","H87","0"
"100325322","10087114P1","SC EXT NEUTRAL 600A 4 BUS","","FLOR","2","0","0","H87","0"
"100325323","10087114P10","SA EXT NEUTRAL 1200A 4 BUS","","FLOR","4","0","0","H87","0"
"100325324","10087114P11","SA EXT NEUTRAL 1200A 4 BUS","","FLOR","2","0","0","H87","0"
"100325325","10087114P7","SA EXT NEUTRAL 600A 4 BUS","","FLOR","5","0","0","H87","0"
"100325326","10087114P8","SA EXT NEUTRAL 600A 5 BUS","","FLOR","1","0","0","H87","0"
"100325327","10087123P3","SM BRACKET VERTICAL RISER","","FLOR","365","0","0","H87","0"
"100325328","10087201P12","SM SIDE BARR EUSERC 40D M NEU","","FLOR","4","0","0","H87","0"
"100325329","10087201P14","SM SIDE BARR EUSERC 50D M NEU","","FLOR","7","0","0","H87","0"
"100325330","10087201P15","SM SIDE BARR EUSERC 55D M NEU","","FLOR","2","0","0","H87","0"
"100325331","10087201P4","SM SIDE BARR EUSERC 40D B NEU","","FLOR","1","0","0","H87","0"
"100325332","10087202P11","SI SIDE INS BARRIER 35D M NEU","","FLOR","4","0","0","H87","0"
"100325333","10087202P12","SI SIDE INS BARRIER 40D M NEU","","FLOR","11","0","0","H87","0"
"100325334","10087261P1","SM MTG BRACKET GROUND","","FLOR","502","0","0","H87","0"
"100325335","10087262P1","SM MTG BRACKET NEUTRAL","","FLOR","334","0","0","H87","0"
"100325336","10087289P1","SM SIDE BRACKET NEUTRAL SF","","FLOR","4","0","0","H87","0"
"100325337","10087291P1","SM COVER NON SOCKET METER","","FLOR","38","0","0","H87","0"
"100325338","10087298P1","MTG PLATE","","FLOR","2713","0","0","H87","0"
"100325339","10087298P11","SM DOOR HINGED, 30WX12H","","FLOR","50","0","0","H87","0"
"100325340","10087298P12","SM DOOR HINGED","","FLOR","10","0","0","H87","0"
"100325341","10087298P13","SM DOOR HINGED","","FLOR","22","0","0","H87","0"
"100325342","10087298P2","SM DOOR HINGED","","FLOR","2","0","0","H87","0"
"100325343","10087298P21","SM BASE PLATE","","FLOR","87","0","0","H87","0"
"100325344","10087298P35","SM BASE PL W/PUNCH","","FLOR","3","0","0","H87","0"
"100325345","10087298P36","SM BASE PL W/PUNCH","","FLOR","8","0","0","H87","0"
"100325346","10087298P37","SM BASE PL W/PUNCH","","FLOR","7","0","0","H87","0"
"100325347","10087298P40","SM BASE PL W/PUNCH","","FLOR","4","0","0","H87","0"
"100325348","10087298P43","SM BASE PL W/PUNCH, 30WX12H","","FLOR","32","0","0","H87","0"
"100325349","10087298P44","SM BASE PL W/PUNCH","","FLOR","10","0","0","H87","0"
"100325350","10087298P45","SM BASE PL W/PUNCH","","FLOR","27","0","0","H87","0"
"100325351","10087298P8","M DOOR HINGED","","FLOR","2","0","0","H87","0"
"100325352","10087390P12","POTENTIAL TAP 50D","","FLOR","2","0","0","H87","0"
"100325353","10087390P8","POTENTIAL TAP 30D","","FLOR","1","0","0","H87","0"
