"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100327997","255C1510P106KT","255C1510P106.PRT","","FLOR","17","0","0","H87","0"
"100327998","255C1510P107KT","255C1510P107.PRT","","FLOR","17","0","0","H87","0"
"100327999","255C1510P108KT","255C1510P108.PRT","","FLOR","27","0","0","H87","0"
"100328000","255C1510P109KT","255C1510P109.PRT","","FLOR","27","0","0","H87","0"
"100328001","255C1510P114KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","9","0","0","H87","0"
"100328002","255C1510P203KT","@SC MAIN BUS SPLICE","","FLOR","2","0","0","H87","0"
"100328003","255C1512P006KT","@SC NEUTRAL SECTION SPLICE","","FLOR","13","0","0","H87","0"
"100328004","255C1512P105KT","@SC NEUTRAL SECTION SPLICE","","FLOR","11","0","0","H87","0"
"100328005","255C1512P106KT","@SC NEUTRAL SECTION SPLICE","","FLOR","12","0","0","H87","0"
"100328006","255C1512P107KT","@SC NEUTRAL SECTION SPLICE","","FLOR","12","0","0","H87","0"
"100328007","255C1513P004KT","NEUT RISER","","FLOR","28","0","0","H87","0"
"100328008","255C1513P006KT","@SC NEUTRAL RISER","","FLOR","21","0","0","H87","0"
"100328009","255C1514P004KT","NEUT DISC","","FLOR","18","0","0","H87","0"
"100328010","255C1515P005KT","NEUT STRAP","","FLOR","9","0","0","H87","0"
"100328011","255C1515P006KT","NEUT STRAP","","FLOR","9","0","0","H87","0"
"100328012","255C1515P007KT","@SC NEUTRAL RISER","","FLOR","1","0","0","H87","0"
"100328013","255C1515P008KT","@SC NEUTRAL RISER","","FLOR","1","0","0","H87","0"
"100328014","255C1515P009KT","@SC NEUTRAL RISER","","FLOR","12","0","0","H87","0"
"100328015","255C1515P010KT","@SC NEUTRAL RISER","","FLOR","11","0","0","H87","0"
"100328016","255C1515P011KT","@SC NEUTRAL RISER","","FLOR","12","0","0","H87","0"
"100328017","255C1516P005","255c1516p005.prt","","FLOR","5","0","0","H87","0"
"100328018","255C1516P018","255c1516p018.prt","","FLOR","2","0","0","H87","0"
"100328019","255C1516P118","255c1516p118.prt","","FLOR","2","0","0","H87","0"
"100328020","255C1517P002KT","@SC BONDING JUMPER LINK","","FLOR","9","0","0","H87","0"
"100328021","255C1517P003","255c1517p003.prt","","FLOR","2","0","0","H87","0"
"100328022","255C1517P003KT","@SC BONDING JUMPER LINK","","FLOR","3","0","0","H87","0"
"100328023","255C1517P106KT","@SC BOND JUMPER CONNECTOR 2500-3000A 3P","","FLOR","9","0","0","H87","0"
"100328024","255C1517P107KT","@SC BOND JUMPER CONNECTOR 2500-3000A 3P","","FLOR","9","0","0","H87","0"
"100328025","255C1517P108KT","@SC BOND JUMPER CONNECTOR 4000A 3P NEUTR","","FLOR","3","0","0","H87","0"
"100328026","255C1517P109","255c1517p109.prt","","FLOR","4","0","0","H87","0"
"100328027","255C1517P109KT","@SC BOND JUMPER CONNECTOR 4000A 3P GROUN","","FLOR","3","0","0","H87","0"
"100328028","255C1517P116","255c1517p116.prt","","FLOR","4","0","0","H87","0"
"100328029","255C1527P005","255c1527p005.prt","","FLOR","1","0","0","H87","0"
"100328030","255C1528P007KT","@SC GROUND SPLICE 0.250","","FLOR","14","0","0","H87","0"
"100328031","255C1528P008KT","@SC GROUND SPLICE 0.250","","FLOR","18","0","0","H87","0"
"100328032","255C1529P044","255c1529p044.prt","","FLOR","1","0","0","H87","0"
"100328033","255C1529P083","255c1529p083.prt","","FLOR","9","0","0","H87","0"
"100328034","255C1529P085","SI EVO-DRY XFMR FH BARRIER","","FLOR","1","0","0","H87","0"
"100328035","255C1529P305","@SI EVO-DRY XFMR FHB FILLER","","FLOR","1","0","0","H87","0"
"100328036","255C1529P405","@SI EVO-DRY XFMR FHB FILLER","","FLOR","1","0","0","H87","0"
"100328037","255C1634P350SM","SA MB ADAPTER AL 25A LH","","FLOR","6","0","0","H87","0"
"100328038","255C1634P351SM","SA MB ADAPTER AL 25A RH","","FLOR","6","0","0","H87","0"
"100328039","255C1645P350SM","SA MB ADAPTER BW 30A AL WITH VB 25A AL L","","FLOR","1","0","0","H87","0"
"100328040","255C1645P351SM","SA MB ADAPTER BW 30A AL WITH VB 25A AL R","","FLOR","1","0","0","H87","0"
"100328041","255C1646P350SM","SA MB ADAPTER CU 30A LH","","FLOR","6","0","0","H87","0"
"100328042","255C1646P351KT","SA MB ADAPTER CU 30A RH","","FLOR","9","0","0","H87","0"
"100328043","255C1646P351SM","SA MB ADAPTER CU 30A RH","","FLOR","6","0","0","H87","0"
"100328044","255C1654P070KT","ESA ADAPT MB PHA","","FLOR","13","0","0","H87","0"
"100328045","255C1656P181","255C1656P181","","FLOR","2","0","0","H87","0"
"100328046","255C1656P188","255C1656P188","","FLOR","2","0","0","H87","0"
"100328047","255C1656P194","255C1656P194","","FLOR","6","0","0","H87","0"
"100328048","255C1656P195","255C1656P195","","FLOR","2","0","0","H87","0"
"100328049","255C1656P196","@SI CHANNEL BRACE 4PH 150-200KIC","","FLOR","3","0","0","H87","0"
"100328050","255C1656P206","255C1656P206","","FLOR","2","0","0","H87","0"
"100328051","255C1656P515","255C1656P515","","FLOR","1","0","0","H87","0"
"100328052","255C1658P301","255c1658p301.prt","","FLOR","1","0","0","H87","0"
"100328053","255C1659P122","255c1659p122","","FLOR","1","0","0","H87","0"
"100328054","255C1659P123","255c1659p123","","FLOR","3","0","0","H87","0"
"100328055","255C1660P100","255c1660p100.prt","","FLOR","2","0","0","H87","0"
"100328056","255C1660P120","255C1660P120","","FLOR","1","0","0","H87","0"
"100328057","255C1665P003","255c1665p003.prt","","FLOR","1","0","0","H87","0"
"100328058","255C1665P009","255c1665p009.prt","","FLOR","2","0","0","H87","0"
"100328059","255C1666P070SM","ESA ADAPT MB PHA","","FLOR","2","0","0","H87","0"
"100328060","255C1680P03","255C1680P03.PRT","","FLOR","7","0","0","H87","0"
"100328061","255C1680P10","255C1680P10.PRT","","FLOR","4","0","0","H87","0"
"100328062","255C1680P17","255C1680P17.PRT","","FLOR","2","0","0","H87","0"
"100328063","255C1753P022SM","@SA BUS SPACER","","FLOR","6","0","0","H87","0"
"100328064","255C1824P240SM","ADAPTER","","FLOR","9","0","0","H87","0"
"100328065","255C1827P240KT","ESA ADAPT MB PHA","","FLOR","1","0","0","H87","0"
"100328066","255C1827P241KT","ESA ADAPT MB PHA","","FLOR","2","0","0","H87","0"
"100328067","255C2096P201","255c2096p201.prt","","FLOR","2","0","0","H87","0"
"100328068","255C2096P302","255C2096P302","","FLOR","1","0","0","H87","0"
"100328069","255C2243P57SM","@SC CONNECTOR VERTICAL AUX GND. 25X3","","FLOR","1","0","0","H87","0"
"100328070","255C2328P025SM","ESA SPL EVO-SPC 10A 05 OFF","","FLOR","3","0","0","H87","0"
"100328071","255C2328P033SM","ESA SPL EVO-SPC 12A 05 OFF","","FLOR","1","0","0","H87","0"
"100328072","255C2328P089SM","ESA SPL EVO-SPC 30A 05 OFF","","FLOR","8","0","0","H87","0"
"100328073","255C2328P090SM","ESA SPL EVO-SPC 30A 05 OFF","","FLOR","8","0","0","H87","0"
"100328074","255C2328P091SM","ESA SPL EVO-SPC 30A 05 OFF","","FLOR","8","0","0","H87","0"
"100328075","255C2328P115SM","ESA SPL EVO-SPC 40A 05 OFF","","FLOR","5","0","0","H87","0"
"100328076","255C2328P116SM","ESA SPL EVO-SPC 40A 05 OFF","","FLOR","6","0","0","H87","0"
"100328077","255C2328P119SM","ESA SPL EVO-SPC 40A 10 OFF","","FLOR","1","0","0","H87","0"
"100328078","255C2328P121SM","ESA SPL EVO-SPC 40A 15 OFF","","FLOR","6","0","0","H87","0"
"100328079","255C2328P122SM","ESA SPL EVO-SPC 40A 15 OFF","","FLOR","9","0","0","H87","0"
"100328080","255C2328P123SM","ESA SPL EVO-SPC 40A 15 OFF","","FLOR","6","0","0","H87","0"
"100328081","255C2328P124SM","ESA SPL EVO-SPC 40A 15 OFF","","FLOR","6","0","0","H87","0"
"100328082","255C2328P525SM","255c2328p525.prt","","FLOR","15","0","0","H87","0"
"100328083","255C2328P533SM","255c2328p533.prt","","FLOR","3","0","0","H87","0"
"100328084","255C2328P541SM","255c2328p541.prt","","FLOR","9","0","0","H87","0"
"100328085","255C2328P542SM","255c2328p542.prt","","FLOR","9","0","0","H87","0"
"100328086","255C2328P589SM","255C2328P589.PRT","","FLOR","3","0","0","H87","0"
"100328087","255C2328P590SM","255C2328P590.PRT","","FLOR","3","0","0","H87","0"
"100328088","255C2328P593SM","255c2328p593.prt","","FLOR","3","0","0","H87","0"
"100328089","255C2328P605SM","255C2328P605.PRT","","FLOR","5","0","0","H87","0"
"100328090","255C2328P606SM","255C2328P606.PRT","","FLOR","6","0","0","H87","0"
"100328091","255C2328P607SM","255C2328P607.PRT","","FLOR","11","0","0","H87","0"
"100328092","255C2328P608SM","255C2328P608.PRT","","FLOR","9","0","0","H87","0"
"100328093","255C2328P609SM","255C2328P609.PRT","","FLOR","6","0","0","H87","0"
"100328094","255C2328P610SM","255C2328P610.PRT","","FLOR","6","0","0","H87","0"
"100328095","255C2331P001KT","ESC SPLICE EVO-SPC 06A","","FLOR","4","0","0","H87","0"
"100328096","255C2331P006KT","EVO SPLICE","","FLOR","11","0","0","H87","0"
"100328097","255C2331P007KT","EVO SPLICE","","FLOR","12","0","0","H87","0"
"100328098","255C2331P012KT","SPLICE","","FLOR","18","0","0","H87","0"
"100328099","255C2331P013KT","SPLICE","","FLOR","6","0","0","H87","0"
"100328100","255C2331P014KT","SPLICE","","FLOR","16","0","0","H87","0"
"100328101","255C2331P020KT","SPLICE","","FLOR","3","0","0","H87","0"
"100328102","255C2331P023KT","SPLICE","","FLOR","3","0","0","H87","0"
"100328103","255C2331P203KT","@SC SPLICE SPECTRA-EVO 08A","","FLOR","3","0","0","H87","0"
"100328104","255C2331P208KT","SPLICE BUS","","FLOR","12","0","0","H87","0"
"100328105","255C2331P209KT","SPLICE BUS","","FLOR","17","0","0","H87","0"
"100328106","255C2331P215KT","@SC SPLICE SPECTRA-EVO 40A","","FLOR","1","0","0","H87","0"
"100328107","255C2331P216KT","SPLICE","","FLOR","2","0","0","H87","0"
"100328108","255C2331P217KT","SPLICE","","FLOR","2","0","0","H87","0"
"100328109","255C2331P218KT","SPLICES","","FLOR","15","0","0","H87","0"
"100328110","255C2331P219KT","SPLICES","","FLOR","16","0","0","H87","0"
"100328111","255C2331P220KT","SPLICES","","FLOR","15","0","0","H87","0"
"100328112","255C2331P221KT","SPLICE","","FLOR","15","0","0","H87","0"
"100328113","255C2332P026KT","255C2332P026.PRT","","FLOR","9","0","0","H87","0"
"100328114","255C2332P041KT","@SC SPL EVO-SPC 16A 05 OFF","","FLOR","3","0","0","H87","0"
"100328115","255C2332P042KT","@SC SPL EVO-SPC 16A 05 OFF","","FLOR","3","0","0","H87","0"
"100328116","255C2332P043SM","255C2332P043.PRT","","FLOR","3","0","0","H87","0"
"100328117","255C2332P044SM","255C2332P044.PRT","","FLOR","3","0","0","H87","0"
"100328118","255C2332P057KT","@SC SPL EVO-SPC 20A 05 OFF","","FLOR","6","0","0","H87","0"
"100328119","255C2332P058KT","@SC SPL EVO-SPC 20A 05 OFF","","FLOR","6","0","0","H87","0"
"100328120","255C2332P073KT","@SC SPL EVO-SPC 25A 05 OFF","","FLOR","6","0","0","H87","0"
"100328121","255C2332P074KT","@SC SPL EVO-SPC 25A 05 OFF","","FLOR","6","0","0","H87","0"
"100328122","255C2332P075KT","@SC SPL EVO-SPC 25A 10 OFF","","FLOR","3","0","0","H87","0"
"100328123","255C2332P076KT","@SC SPL EVO-SPC 25A 10 OFF","","FLOR","3","0","0","H87","0"
"100328124","255C2332P079KT","@SC SPL EVO-SPC 25A 20 OFF","","FLOR","3","0","0","H87","0"
"100328125","255C2332P080KT","@SC SPL EVO-SPC 25A 20 OFF","","FLOR","3","0","0","H87","0"
"100328126","255C2332P089KT","@SC SPL EVO-SPC 30A 05 OFF","","FLOR","14","0","0","H87","0"
"100328127","255C2332P090KT","@SC SPL EVO-SPC 30A 05 OFF","","FLOR","12","0","0","H87","0"
"100328128","255C2332P091KT","@SC SPL EVO-SPC 30A 05 OFF","","FLOR","14","0","0","H87","0"
"100328129","255C2332P113KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","12","0","0","H87","0"
"100328130","255C2332P114KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","10","0","0","H87","0"
"100328131","255C2332P115KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","3","0","0","H87","0"
"100328132","255C2332P116KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","7","0","0","H87","0"
"100328133","255C2332P145KT","@SC SPL EVO-SPC 50A 05 OFF","","FLOR","3","0","0","H87","0"
"100328134","255C2332P146KT","@SC SPL EVO-SPC 50A 05 OFF","","FLOR","3","0","0","H87","0"
"100328135","255C2332P147KT","@SC SPL EVO-SPC 50A 05 OFF","","FLOR","3","0","0","H87","0"
"100328136","255C2332P148KT","@SC SPL EVO-SPC 50A 05 OFF","","FLOR","3","0","0","H87","0"
"100328137","255C2332P149KT","@SC SPL EVO-SPC 50A 05 OFF","","FLOR","3","0","0","H87","0"
"100328138","255C2332P154KT","@SC SPL EVO-SPC 50A 10 OFF","","FLOR","1","0","0","H87","0"
"100328139","255C2332P187KT","SPLICE BUS","","FLOR","3","0","0","H87","0"
"100328140","255C2332P189KT","SPLICE BUS","","FLOR","3","0","0","H87","0"
"100328141","255C2332P518KT","255C2332P518.PRT","","FLOR","3","0","0","H87","0"
"100328142","255C2332P526KT","255C2332P526.PRT","","FLOR","3","0","0","H87","0"
"100328143","255C2332P543SM","255C2332P543.PRT","","FLOR","3","0","0","H87","0"
"100328144","255C2332P544SM","255C2332P544.PRT","","FLOR","3","0","0","H87","0"
"100328145","255C2332P557KT","SC SPL EVO-SPC 20A 05 OFF","","FLOR","6","0","0","H87","0"
"100328146","255C2332P558KT","SC SPL EVO-SPC 20A 05 OFF","","FLOR","6","0","0","H87","0"
"100328147","255C2332P573KT","SC SPL EVO-SPC 25A 05 OFF","","FLOR","6","0","0","H87","0"
"100328148","255C2332P574KT","SC SPL EVO-SPC 25A 05 OFF","","FLOR","2","0","0","H87","0"
"100328149","255C2332P589KT","SC SPL EVO-SPC 30A 05 OFF","","FLOR","6","0","0","H87","0"
"100328150","255C2332P590KT","SC SPL EVO-SPC 30A 05 OFF","","FLOR","12","0","0","H87","0"
"100328151","255C2332P590SM","255C2332P590.PRT","","FLOR","3","0","0","H87","0"
"100328152","255C2332P593KT","SC SPL EVO-SPC 30A 15 OFF","","FLOR","6","0","0","H87","0"
"100328153","255C2332P594KT","SC SPL EVO-SPC 30A 15 OFF","","FLOR","3","0","0","H87","0"
"100328154","255C2332P599KT","255C2332P599.PRT","","FLOR","3","0","0","H87","0"
"100328155","255C2332P600KT","255C2332P600.PRT","","FLOR","3","0","0","H87","0"
"100328156","255C2332P605KT","SC SPL EVO-SPC 40A 05 OFF","","FLOR","24","0","0","H87","0"
"100328157","255C2332P606KT","SC SPL EVO-SPC 40A 05 OFF","","FLOR","25","0","0","H87","0"
"100328158","255C2332P625KT","SPLICE","","FLOR","6","0","0","H87","0"
"100328159","255C2332P626KT","SPLICE","","FLOR","6","0","0","H87","0"
"100328160","255C2333P017KT","255c2333p017.prt","","FLOR","1","0","0","H87","0"
"100328161","255C2333P025KT","255c2333p025.prt","","FLOR","12","0","0","H87","0"
"100328162","255C2333P041KT","255c2333p041.prt","","FLOR","3","0","0","H87","0"
"100328163","255C2333P042KT","255c2333p042.prt","","FLOR","2","0","0","H87","0"
"100328164","255C2333P073KT","255c2333p073.prt","","FLOR","6","0","0","H87","0"
"100328165","255C2333P074KT","255c2333p074.prt","","FLOR","6","0","0","H87","0"
"100328166","255C2333P093KT","255c2333p093.prt","","FLOR","3","0","0","H87","0"
"100328167","255C2333P094KT","255c2333p094.prt","","FLOR","2","0","0","H87","0"
"100328168","255C2333P095KT","255c2333p095.prt","","FLOR","3","0","0","H87","0"
"100328169","255C2333P096KT","255c2333p096.prt","","FLOR","3","0","0","H87","0"
"100328170","255C2333P097KT","255c2333p097.prt","","FLOR","3","0","0","H87","0"
"100328171","255C2333P115KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","1","0","0","H87","0"
"100328172","255C2333P116KT","@SC SPL EVO-SPC 40A 05 OFF","","FLOR","1","0","0","H87","0"
"100328173","255C2333P118KT","255c2333p118.prt","","FLOR","1","0","0","H87","0"
"100328174","255C2333P533KT","255C2333P533.PRT","","FLOR","3","0","0","H87","0"
"100328175","255C2333P541KT","255C2333P541.PRT","","FLOR","3","0","0","H87","0"
"100328176","255C2333P542KT","255C2333P542.PRT","","FLOR","3","0","0","H87","0"
"100328177","255C2333P605KT","255C2333P605.PRT","","FLOR","3","0","0","H87","0"
"100328178","255C2333P609KT","255C2333P609.PRT","","FLOR","3","0","0","H87","0"
"100328179","255C2333P610KT","255C2333P610.PRT","","FLOR","3","0","0","H87","0"
"100328180","255C2334P02KT","@SC SPLICE NEUT EVO-SPC 06A","","FLOR","1","0","0","H87","0"
"100328181","255C2334P04KT","@SC SPLICE NEUT EVO-SPC 10A","","FLOR","1","0","0","H87","0"
"100328182","255C2334P08KT","@SC SPLICE NEUT EVO-SPC 20A","","FLOR","6","0","0","H87","0"
"100328183","255C2334P08SM","@SC SPLICE NEUT EVO-SPC 20A","","FLOR","7","0","0","H87","0"
"100328184","255C2334P09KT","@SC SPLICE NEUT EVO-SPC 20A","","FLOR","6","0","0","H87","0"
"100328185","255C2334P10KT","@SC SPLICE NEUT EVO-SPC 25A","","FLOR","3","0","0","H87","0"
"100328186","255C2334P11KT","@SC SPLICE NEUT EVO-SPC 25A","","FLOR","5","0","0","H87","0"
"100328187","255C2334P12KT","SPLICE BUS","","FLOR","3","0","0","H87","0"
"100328188","255C2334P13KT","SPLICE BUS","","FLOR","3","0","0","H87","0"
"100328189","255C2334P17KT","SC SPLICE NEUT EVO-SPC 50A","","FLOR","4","0","0","H87","0"
"100328190","255C2334P204SM","255C2334P204","","FLOR","2","0","0","H87","0"
"100328191","255C2334P205SM","@SC SPLICE NEUT EVO-SPC 12A","","FLOR","4","0","0","H87","0"
"100328192","255C2334P206SM","@SA SPLICE NEUT EVO-SPC 16A","","FLOR","1","0","0","H87","0"
"100328193","255C2334P207SM","@SA SPLICE NEUT EVO-SPC 16A","","FLOR","1","0","0","H87","0"
"100328194","255C2337P009SM","@SA SPL EVO-SPC 06A 05 OFF","","FLOR","6","0","0","H87","0"
"100328195","255C2337P041SM","@SA SPL EVO-SPC 16A 05 OFF","","FLOR","103","0","0","H87","0"
"100328196","255C2337P042SM","@SA SPL EVO-SPC 16A 05 OFF","","FLOR","51","0","0","H87","0"
"100328197","255C2337P045SM","255C2337P045SM","","FLOR","3","0","0","H87","0"
"100328198","255C2337P046SM","255C2337P046SM","","FLOR","3","0","0","H87","0"
"100328199","255C2337P057SM","@SA SPL EVO-SPC 20A 05 OFF","","FLOR","28","0","0","H87","0"
"100328200","255C2337P058SM","@SA SPL EVO-SPC 20A 05 OFF","","FLOR","32","0","0","H87","0"
"100328201","255C2337P074SM","@SA SPL EVO-SPC 25A 05 OFF","","FLOR","2","0","0","H87","0"
"100328202","255C2337P079SM","@SA SPL EVO-SPC 16A 05 OFF","","FLOR","6","0","0","H87","0"
"100328203","255C2337P080SM","@SA SPL EVO-SPC 25A 20 OFF","","FLOR","6","0","0","H87","0"
"100328204","255C2337P094SM","@SA SPL EVO-SPC 30A 10 OFF","","FLOR","1","0","0","H87","0"
"100328205","255C2337P113SM","@SA SPL EVO-SPC 40A 05 OFF","","FLOR","4","0","0","H87","0"
"100328206","255C2337P114SM","@SA SPL EVO-SPC 40A 05 OFF","","FLOR","5","0","0","H87","0"
"100328207","255C2337P115SM","@SA SPL EVO-SPC 40A 05 OFF","","FLOR","6","0","0","H87","0"
"100328208","255C2337P116SM","@SA SPL EVO-SPC 40A 05 OFF","","FLOR","3","0","0","H87","0"
"100328209","255C2337P118SM","@SA SPL EVO-SPC 40A 10 OFF","","FLOR","3","0","0","H87","0"
"100328210","255C2337P525SM","255C2337P525.PRT","","FLOR","6","0","0","H87","0"
"100328211","255C2337P541SM","255C2337P541.PRT","","FLOR","22","0","0","H87","0"
"100328212","255C2337P542SM","255C2337P542.PRT","","FLOR","16","0","0","H87","0"
"100328213","255C2337P543SM","SA SPL EVO-SPC 16A 10 OFF","","FLOR","6","0","0","H87","0"
"100328214","255C2337P544SM","SA SPL EVO-SPC 16A 10 OFF","","FLOR","6","0","0","H87","0"
"100328215","255C2337P545SM","255C2337P545SM","","FLOR","3","0","0","H87","0"
"100328216","255C2337P546SM","255C2337P546SM","","FLOR","3","0","0","H87","0"
"100328217","255C2337P557SM","@SA SPL EVO-SPC 20A 05 OFF","","FLOR","39","0","0","H87","0"
"100328218","255C2337P558SM","@SA SPL EVO-SPC 20A 05 OFF","","FLOR","29","0","0","H87","0"
"100328219","255C2337P573SM","SC SPL EVO-SPC 25A 05 OFF","","FLOR","11","0","0","H87","0"
"100328220","255C2337P574SM","SC SPL EVO-SPC 25A 05 OFF","","FLOR","6","0","0","H87","0"
"100328221","255C2337P579SM","SC SPL EVO-SPC 25A 20 OFF","","FLOR","3","0","0","H87","0"
"100328222","255C2337P580SM","SC SPL EVO-SPC 25A 20 OFF","","FLOR","3","0","0","H87","0"
"100328223","255C2337P591SM","255C2337P591.PRT","","FLOR","2","0","0","H87","0"
"100328224","255C2337P594SM","SC SPL EVO-SPC 30A 15 OFF","","FLOR","1","0","0","H87","0"
"100328225","255C2337P605SM","SC SPL EVO-SPC 40A 05 OFF","","FLOR","8","0","0","H87","0"
"100328226","255C2337P606SM","SC SPL EVO-SPC 40A 05 OFF","","FLOR","8","0","0","H87","0"
"100328227","255C2337P607SM","10 OFFSET SPLICE","","FLOR","9","0","0","H87","0"
"100328228","255C2337P608SM","10 OFFSET SPLICE","","FLOR","9","0","0","H87","0"
"100328229","255C2337P609SM","255C2337P609.PRT","","FLOR","3","0","0","H87","0"
"100328230","255C2337P610SM","255C2337P610.PRT","","FLOR","1","0","0","H87","0"
"100328231","255C2338P002SM","255C2338P002.PRT","","FLOR","6","0","0","H87","0"
"100328232","255C2338P004SM","255C2338P004.PRT","","FLOR","18","0","0","H87","0"
"100328233","255C2338P005SM","@SA SPLICE EVO-SPC 12A","","FLOR","43","0","0","H87","0"
"100328234","255C2338P008SM","@SA SPLICE EVO-SPC 20A","","FLOR","10","0","0","H87","0"
"100328235","255C2338P009SM","@SA SPLICE EVO-SPC 20A","","FLOR","5","0","0","H87","0"
"100328236","255C2338P010SM","255C2338P010.PRT","","FLOR","13","0","0","H87","0"
"100328237","255C2338P011SM","255C2338P011.PRT","","FLOR","17","0","0","H87","0"
"100328238","255C2338P012SM","255C2338P012.PRT","","FLOR","25","0","0","H87","0"
"100328239","255C2338P013SM","255C2338P013.PRT","","FLOR","23","0","0","H87","0"
"100328240","255C2338P014SM","255C2338P014.PRT","","FLOR","22","0","0","H87","0"
"100328241","255C2338P015SM","@SA SPLICE EVO-SPC 40A","","FLOR","7","0","0","H87","0"
"100328242","255C2338P016SM","@SA SPLICE EVO-SPC 40A","","FLOR","3","0","0","H87","0"
"100328243","255C2338P017SM","@SA SPLICE EVO-SPC 40A","","FLOR","15","0","0","H87","0"
"100328244","255C2338P018SM","@SA SPLICE EVO-SPC 40A","","FLOR","9","0","0","H87","0"
"100328245","255C2338P205SM","@SA SPLICE SPECTRA-EVO 12A","","FLOR","82","0","0","H87","0"
"100328246","255C2338P206SM","@SA SPLICE SPECTRA-EVO 16A","","FLOR","3","0","0","H87","0"
"100328247","255C2338P207SM","@SA SPLICE SPECTRA-EVO 16A","","FLOR","4","0","0","H87","0"
"100328248","255C2338P208SM","@SA SPLICE SPECTRA-EVO 20A","","FLOR","5","0","0","H87","0"
"100328249","255C2338P209SM","@SA SPLICE SPECTRA-EVO 20A","","FLOR","8","0","0","H87","0"
"100328250","255C2338P212SM","@SA SPLICE SPECTRA-EVO 30A","","FLOR","3","0","0","H87","0"
"100328251","255C2338P213SM","@SA SPLICE SPECTRA-EVO 30A","","FLOR","3","0","0","H87","0"
"100328252","255C2338P214SM","MAIN BUS SPLICES","","FLOR","10","0","0","H87","0"
"100328253","255C2338P215SM","MAIN BUS SPLICES","","FLOR","13","0","0","H87","0"
"100328254","255C2497P06KT","@SC NEU_BAR RISER 08/16A TO 08/16A CU","","FLOR","1","0","0","H87","0"
"100328255","255C2497P10KT","@SC NEU_BAR RISER 12/25A TO 12/25A CU","","FLOR","4","0","0","H87","0"
"100328256","255C2497P21KT","@SC NEU_BAR RISER 40A TO 40A CU","","FLOR","2","0","0","H87","0"
"100328257","255C2497P30SM","@SC NEU_BAR RISER 08/16A TO 08/16A AL","","FLOR","7","0","0","H87","0"
"100328258","255C2497P45SM","@SC NEU_BAR RISER 40A TO 40A AL","","FLOR","1","0","0","H87","0"
"100328259","270A0002P14","SM BASEPLATE 35W 23H","","FLOR","44","0","0","H87","0"
"100328260","270A0018P14","SM L.H","","FLOR","2","0","0","H87","0"
"100328261","270A0028P14SM","SA RSB","","FLOR","2","0","0","H87","0"
"100328262","270A0029P14SM","SA RSB","","FLOR","2","0","0","H87","0"
"100328263","270A0030P14SM","SA DISC NEUT 16A FOR 1SDA082134R1","","FLOR","1","0","0","H87","0"
"100328264","270A0031P14SM","SA DISC NEUT 16A FOR 1SDA082134R1","","FLOR","1","0","0","H87","0"
"100328265","270A0141P14KT","SC NEUT SPLIT 30A RG","","FLOR","2","0","0","H87","0"
"100328266","270A0142P14KT","SC NEUT SPLIT 30A RG","","FLOR","2","0","0","H87","0"
"100328267","270A0143P14KT","SC NEUT SPLIT 30A RG","","FLOR","2","0","0","H87","0"
"100328268","270A0144P14KT","SC NEUT DISCONNECT 30A","","FLOR","2","0","0","H87","0"
"100328269","270A0195P14KT","SC LUG STRAPS 60A 20D","","FLOR","23","0","0","H87","0"
"100328270","270A0211P14KT","SC AUX NEUT BUS 40A TR/BL 40D 2HOLE","","FLOR","2","0","0","H87","0"
"100328271","270A0212P14KT","SC AUX NEUT BUS 40A TR/BL 40D 2HOLE","","FLOR","2","0","0","H87","0"
"100328272","270A0228P14","SM FHB 45D CMB25 N77 G67","","FLOR","1","0","0","H87","0"
"100328273","270A0241P14SM","SA TIER BUS EXTEND AL 12A-25A","","FLOR","6","0","0","H87","0"
"100328274","270A0242P14SM","SA TIER BUS EXTEND AL 12A-25A","","FLOR","6","0","0","H87","0"
"100328275","270A0243P14SM","SA TIER BUS EXTEND AL 12A-25A","","FLOR","6","0","0","H87","0"
"100328276","270A0268P14KT","SC AUX GND BR/TL 40D 40A 25%","","FLOR","2","0","0","H87","0"
"100328277","270A0541P14KT","SC EMAX TIER ADPTR CL6 20A","","FLOR","2","0","0","H87","0"
"100328278","270A0542P14KT","SC EMAX TIER ADPTR CL6 20A","","FLOR","2","0","0","H87","0"
"100328279","270A0543P14KT","SC EMAX TIER ADPTR CL6 20A","","FLOR","2","0","0","H87","0"
"100328280","270A0551P14SM","SA AUX NEUT BUS 25A TR/BL 35D","","FLOR","2","0","0","H87","0"
"100328281","270A0553P14SM","SA XT5 A PHASE ZERO TIER T20 AL","","FLOR","2","0","0","H87","0"
"100328282","270A0554P14SM","SA XT5 C PHASE ZERO TIER T20 AL","","FLOR","1","0","0","H87","0"
"100328283","270A0565P14KT","SC TIER CU 40A T1 TOP CPH OUT","","FLOR","1","0","0","H87","0"
"100328284","270A0566P14KT","SC TIER CU 40A T1 TOP CPH MID","","FLOR","1","0","0","H87","0"
